StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
C1	c	25.0	85.0	20.0	12.0	0.39	0.26	131.0	191.0	10.0
C2	c	22.0	75.0	30.0	22.0	0.40	0.34	69.0	129.0	10.0
C3	c	22.0	85.0	10.0	22.0	0.25	0.37	98.0	158.0	10.0
C4	c	20.0	80.0	40.0	13.0	0.03	0.22	46.0	106.0	10.0
C5	c	20.0	85.0	20.0	27.0	0.35	0.14	124.0	184.0	10.0
C6	c	18.0	75.0	20.0	1.0	0.17	0.05	90.0	150.0	10.0
C7	c	15.0	75.0	20.0	3.0	0.29	0.08	87.0	147.0	10.0
C8	c	15.0	80.0	10.0	7.0	0.24	0.42	80.0	140.0	10.0
C9	c	10.0	35.0	20.0	9.0	0.21	0.25	108.0	168.0	10.0
C10	c	10.0	40.0	30.0	24.0	0.32	0.18	74.0	134.0	10.0
C11	c	8.0	40.0	40.0	7.0	0.49	0.33	71.0	131.0	10.0
C12	c	8.0	45.0	20.0	2.0	0.45	0.42	96.0	156.0	10.0
C13	c	5.0	35.0	10.0	19.0	0.43	0.10	39.0	99.0	10.0
C14	c	5.0	45.0	10.0	8.0	0.50	0.46	36.0	96.0	10.0
C15	c	2.0	40.0	20.0	28.0	0.44	0.29	88.0	148.0	10.0
C16	c	0.0	40.0	20.0	2.0	0.09	0.16	128.0	188.0	10.0
C17	c	0.0	45.0	20.0	3.0	0.40	0.44	129.0	189.0	10.0
C18	c	44.0	5.0	20.0	23.0	0.37	0.49	64.0	124.0	10.0
C19	c	42.0	10.0	40.0	5.0	0.26	0.35	48.0	108.0	10.0
C20	c	42.0	15.0	10.0	7.0	0.35	0.13	104.0	164.0	10.0
C21	c	40.0	5.0	10.0	28.0	0.37	0.22	125.0	185.0	10.0
C22	c	40.0	15.0	40.0	24.0	0.31	0.06	91.0	151.0	10.0
C23	c	38.0	5.0	30.0	25.0	0.32	0.14	74.0	134.0	10.0
C24	c	38.0	15.0	10.0	0.0	0.25	0.00	93.0	153.0	10.0
C25	c	35.0	5.0	20.0	6.0	0.33	0.36	96.0	156.0	10.0
C26	c	95.0	30.0	30.0	3.0	0.02	0.37	88.0	148.0	10.0
C27	c	95.0	35.0	20.0	29.0	0.02	0.18	112.0	172.0	10.0
C28	c	92.0	30.0	10.0	12.0	0.28	0.06	114.0	174.0	10.0
C29	c	90.0	35.0	10.0	7.0	0.26	0.49	113.0	173.0	10.0
C30	c	88.0	30.0	10.0	22.0	0.05	0.25	114.0	174.0	10.0
C31	c	88.0	35.0	20.0	28.0	0.39	0.21	87.0	147.0	10.0
C32	c	87.0	30.0	10.0	22.0	0.51	0.49	67.0	127.0	10.0
C33	c	85.0	25.0	10.0	17.0	0.35	0.29	84.0	144.0	10.0
C34	c	85.0	35.0	30.0	11.0	0.02	0.44	122.0	182.0	10.0
C35	c	67.0	85.0	20.0	0.0	0.16	0.00	125.0	185.0	10.0
C36	c	65.0	85.0	40.0	8.0	0.10	0.08	57.0	117.0	10.0
C37	c	65.0	82.0	10.0	29.0	0.28	0.32	56.0	116.0	10.0
C38	c	62.0	80.0	30.0	23.0	0.05	0.11	75.0	135.0	10.0
C39	c	60.0	80.0	10.0	29.0	0.44	0.33	85.0	145.0	10.0
C40	c	60.0	85.0	30.0	10.0	0.17	0.27	129.0	189.0	10.0
C41	c	58.0	75.0	20.0	0.0	0.35	0.00	95.0	155.0	10.0
C42	c	55.0	80.0	10.0	28.0	0.32	0.44	34.0	94.0	10.0
C43	c	55.0	85.0	20.0	24.0	0.27	0.48	92.0	152.0	10.0
C44	c	55.0	82.0	10.0	22.0	0.19	0.24	36.0	96.0	10.0
C45	c	20.0	82.0	10.0	8.0	0.46	0.10	38.0	98.0	10.0
C46	c	18.0	80.0	10.0	5.0	0.34	0.44	114.0	174.0	10.0
C47	c	2.0	45.0	10.0	15.0	0.11	0.17	49.0	109.0	10.0
C48	c	42.0	5.0	10.0	10.0	0.04	0.03	124.0	184.0	10.0
C49	c	42.0	12.0	10.0	2.0	0.22	0.43	70.0	130.0	10.0
C50	c	72.0	35.0	30.0	11.0	0.26	0.38	134.0	194.0	10.0
C51	c	55.0	20.0	19.0	7.0	0.10	0.49	134.0	194.0	10.0
C52	c	25.0	30.0	3.0	1.0	0.27	0.25	43.0	103.0	10.0
C53	c	20.0	50.0	5.0	7.0	0.33	0.20	20.0	80.0	10.0
C54	c	55.0	60.0	16.0	11.0	0.18	0.47	151.0	211.0	10.0
C55	c	30.0	60.0	16.0	18.0	0.10	0.28	15.0	75.0	10.0
C56	c	50.0	35.0	19.0	16.0	0.22	0.23	118.0	178.0	10.0
C57	c	30.0	25.0	23.0	22.0	0.02	0.11	27.0	87.0	10.0
C58	c	15.0	10.0	20.0	9.0	0.16	0.43	56.0	116.0	10.0
C59	c	10.0	20.0	19.0	13.0	0.12	0.17	50.0	110.0	10.0
