StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
C98	c	58.0	75.0	20.0	21.0	0.45	0.29	181.0	247.0	90.0
C78	c	88.0	35.0	20.0	27.0	0.39	0.39	667.0	731.0	90.0
C4	c	42.0	68.0	10.0	12.0	0.08	0.40	584.0	656.0	90.0
C13	c	22.0	75.0	30.0	25.0	0.12	0.09	1042.0	1106.0	90.0
C95	c	62.0	80.0	30.0	24.0	0.07	0.32	274.0	330.0	90.0
C100	c	55.0	85.0	20.0	15.0	0.35	0.01	744.0	798.0	90.0
C54	c	42.0	10.0	40.0	20.0	0.46	0.45	810.0	868.0	90.0
C27	c	23.0	52.0	10.0	29.0	0.30	0.25	263.0	311.0	90.0
C89	c	63.0	58.0	10.0	20.0	0.06	0.45	929.0	989.0	90.0
C96	c	60.0	80.0	10.0	4.0	0.29	0.38	177.0	243.0	90.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S1	f	77.0	52.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S3	f	57.0	82.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S16	f	48.0	8.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S20	f	93.0	43.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
