StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
C1	c	45.0	68.0	10.0	20.0	0.32	0.21	19.0	199.0	90.0
C2	c	45.0	70.0	30.0	6.0	0.47	0.18	436.0	616.0	90.0
C3	c	42.0	66.0	10.0	13.0	0.40	0.15	807.0	987.0	90.0
C4	c	42.0	68.0	10.0	29.0	0.21	0.33	530.0	710.0	90.0
C5	c	42.0	65.0	10.0	25.0	0.21	0.43	898.0	1078.0	90.0
C6	c	40.0	69.0	20.0	0.0	0.28	0.00	622.0	802.0	90.0
C7	c	40.0	66.0	20.0	16.0	0.29	0.07	715.0	895.0	90.0
C8	c	38.0	68.0	20.0	1.0	0.22	0.26	947.0	1127.0	90.0
C9	c	38.0	70.0	10.0	13.0	0.37	0.27	909.0	1089.0	90.0
C10	c	35.0	66.0	10.0	12.0	0.12	0.33	722.0	902.0	90.0
C11	c	35.0	69.0	10.0	26.0	0.07	0.31	815.0	995.0	90.0
C12	c	25.0	85.0	20.0	19.0	0.20	0.08	112.0	292.0	90.0
C13	c	22.0	75.0	30.0	17.0	0.25	0.25	935.0	1115.0	90.0
C14	c	22.0	85.0	10.0	23.0	0.13	0.14	205.0	385.0	90.0
C15	c	20.0	80.0	40.0	29.0	0.23	0.32	677.0	857.0	90.0
C16	c	20.0	85.0	40.0	26.0	0.21	0.04	297.0	477.0	90.0
C17	c	18.0	75.0	20.0	15.0	0.38	0.08	582.0	762.0	90.0
C18	c	15.0	75.0	20.0	2.0	0.15	0.51	489.0	669.0	90.0
C19	c	15.0	80.0	10.0	25.0	0.07	0.48	394.0	574.0	90.0
C20	c	30.0	50.0	10.0	13.0	0.43	0.15	10.0	190.0	90.0
C21	c	30.0	52.0	20.0	24.0	0.40	0.08	11.0	191.0	90.0
C22	c	28.0	52.0	20.0	18.0	0.15	0.46	13.0	193.0	90.0
C23	c	28.0	55.0	10.0	8.0	0.26	0.22	13.0	193.0	90.0
C24	c	25.0	50.0	10.0	22.0	0.11	0.51	15.0	195.0	90.0
C25	c	25.0	52.0	40.0	8.0	0.14	0.35	105.0	285.0	90.0
C26	c	25.0	55.0	10.0	9.0	0.09	0.29	618.0	798.0	90.0
C27	c	23.0	52.0	10.0	12.0	0.21	0.49	197.0	377.0	90.0
C28	c	23.0	55.0	20.0	15.0	0.04	0.10	384.0	564.0	90.0
C29	c	20.0	50.0	10.0	7.0	0.34	0.09	110.0	290.0	90.0
C30	c	20.0	55.0	10.0	17.0	0.17	0.42	291.0	471.0	90.0
C31	c	10.0	35.0	20.0	7.0	0.24	0.06	402.0	582.0	90.0
C32	c	10.0	40.0	30.0	29.0	0.05	0.36	214.0	394.0	90.0
C33	c	8.0	40.0	40.0	10.0	0.38	0.45	306.0	486.0	90.0
C34	c	8.0	45.0	20.0	14.0	0.48	0.22	129.0	309.0	90.0
C35	c	5.0	35.0	10.0	6.0	0.23	0.36	600.0	780.0	90.0
C36	c	5.0	45.0	10.0	20.0	0.07	0.38	222.0	402.0	90.0
C37	c	2.0	40.0	20.0	18.0	0.01	0.04	504.0	684.0	90.0
C38	c	0.0	40.0	30.0	17.0	0.16	0.23	412.0	592.0	90.0
