StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
C11	c	8.0	40.0	40.0	14.0	0.24	0.13	76.0	126.0	10.0
C22	c	40.0	15.0	40.0	6.0	0.18	0.26	96.0	146.0	10.0
C55	c	30.0	60.0	16.0	19.0	0.42	0.21	15.0	116.0	10.0
C82	c	27.0	43.0	9.0	6.0	0.06	0.10	111.0	147.0	10.0
C36	c	65.0	85.0	40.0	12.0	0.40	0.17	59.0	114.0	10.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S3	f	57.0	82.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S9	f	14.0	59.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S15	f	39.0	26.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
