StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
C1	c	45.0	68.0	10.0	17.0	0.29	0.03	19.0	271.0	90.0
C2	c	45.0	70.0	30.0	8.0	0.49	0.46	417.0	635.0	90.0
C3	c	42.0	66.0	10.0	14.0	0.29	0.02	760.0	1034.0	90.0
C4	c	42.0	68.0	10.0	17.0	0.43	0.12	476.0	764.0	90.0
C5	c	42.0	65.0	10.0	26.0	0.23	0.06	823.0	1130.0	90.0
C6	c	40.0	69.0	20.0	0.0	0.39	0.00	594.0	830.0	90.0
C7	c	40.0	66.0	20.0	0.0	0.44	0.00	680.0	930.0	90.0
C8	c	38.0	68.0	20.0	29.0	0.20	0.43	854.0	1127.0	90.0
C9	c	38.0	70.0	10.0	3.0	0.29	0.44	794.0	1125.0	90.0
C10	c	35.0	66.0	10.0	21.0	0.34	0.43	679.0	945.0	90.0
C11	c	35.0	69.0	10.0	8.0	0.19	0.31	762.0	1048.0	90.0
C12	c	25.0	85.0	20.0	7.0	0.15	0.24	96.0	308.0	90.0
C13	c	22.0	75.0	30.0	4.0	0.27	0.33	858.0	1115.0	90.0
C14	c	22.0	85.0	10.0	8.0	0.10	0.36	166.0	424.0	90.0
C15	c	20.0	80.0	40.0	21.0	0.03	0.16	677.0	857.0	90.0
C16	c	20.0	85.0	40.0	23.0	0.15	0.35	270.0	504.0	90.0
C17	c	18.0	75.0	20.0	3.0	0.21	0.37	516.0	828.0	90.0
C18	c	15.0	75.0	20.0	19.0	0.42	0.41	490.0	668.0	90.0
C19	c	15.0	80.0	10.0	9.0	0.31	0.05	367.0	601.0	90.0
C20	c	30.0	50.0	10.0	25.0	0.26	0.48	10.0	249.0	90.0
C21	c	30.0	52.0	20.0	0.0	0.36	0.00	11.0	259.0	90.0
C22	c	28.0	52.0	20.0	29.0	0.24	0.08	13.0	250.0	90.0
C23	c	28.0	55.0	10.0	21.0	0.15	0.17	13.0	241.0	90.0
C24	c	25.0	50.0	10.0	18.0	0.30	0.25	15.0	283.0	90.0
C25	c	25.0	52.0	40.0	28.0	0.27	0.28	46.0	344.0	90.0
C26	c	25.0	55.0	10.0	3.0	0.50	0.11	565.0	851.0	90.0
C27	c	23.0	52.0	10.0	1.0	0.26	0.31	192.0	382.0	90.0
C28	c	23.0	55.0	20.0	18.0	0.20	0.22	329.0	619.0	90.0
C29	c	20.0	50.0	10.0	8.0	0.14	0.33	97.0	303.0	90.0
C30	c	20.0	55.0	10.0	14.0	0.30	0.09	276.0	486.0	90.0
C31	c	10.0	35.0	20.0	0.0	0.37	0.00	389.0	595.0	90.0
C32	c	10.0	40.0	30.0	11.0	0.12	0.26	170.0	438.0	90.0
C33	c	8.0	40.0	40.0	26.0	0.24	0.37	232.0	560.0	90.0
C34	c	8.0	45.0	20.0	0.0	0.24	0.00	120.0	318.0	90.0
C35	c	5.0	35.0	10.0	18.0	0.08	0.39	550.0	830.0	90.0
C36	c	5.0	45.0	10.0	1.0	0.12	0.47	176.0	448.0	90.0
C37	c	2.0	40.0	20.0	18.0	0.34	0.49	495.0	693.0	90.0
C38	c	0.0	40.0	30.0	22.0	0.03	0.37	380.0	624.0	90.0
C39	c	0.0	45.0	20.0	25.0	0.13	0.48	276.0	538.0	90.0
