StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	35.0	35.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
C1	c	41.0	49.0	10.0	12.0	0.51	0.03	36.0	46.0	10.0
C2	c	35.0	17.0	7.0	8.0	0.50	0.27	0.0	202.0	10.0
C3	c	55.0	45.0	13.0	27.0	0.21	0.34	0.0	197.0	10.0
C4	c	55.0	20.0	19.0	4.0	0.26	0.01	107.0	117.0	10.0
C5	c	15.0	30.0	26.0	21.0	0.12	0.40	0.0	199.0	10.0
C6	c	25.0	30.0	3.0	16.0	0.30	0.23	0.0	208.0	10.0
C7	c	20.0	50.0	5.0	23.0	0.46	0.06	88.0	98.0	10.0
C8	c	10.0	43.0	9.0	10.0	0.13	0.12	27.0	37.0	10.0
C9	c	55.0	60.0	16.0	19.0	0.02	0.26	0.0	187.0	10.0
C10	c	30.0	60.0	16.0	16.0	0.04	0.20	0.0	194.0	10.0
C11	c	20.0	65.0	12.0	13.0	0.02	0.39	0.0	186.0	10.0
C12	c	50.0	35.0	19.0	23.0	0.10	0.29	177.0	187.0	10.0
C13	c	30.0	25.0	23.0	25.0	0.35	0.48	0.0	208.0	10.0
C14	c	15.0	10.0	20.0	8.0	0.17	0.17	0.0	187.0	10.0
C15	c	30.0	5.0	8.0	9.0	0.51	0.26	114.0	124.0	10.0
C16	c	10.0	20.0	19.0	1.0	0.10	0.09	71.0	81.0	10.0
C17	c	5.0	30.0	2.0	29.0	0.23	0.16	73.0	83.0	10.0
C18	c	20.0	40.0	12.0	26.0	0.20	0.38	0.0	204.0	10.0
C19	c	15.0	60.0	17.0	21.0	0.51	0.23	0.0	187.0	10.0
C20	c	45.0	65.0	9.0	27.0	0.19	0.11	159.0	169.0	10.0
C21	c	45.0	20.0	11.0	0.0	0.33	0.00	0.0	201.0	10.0
C22	c	45.0	10.0	18.0	4.0	0.31	0.30	0.0	193.0	10.0
C23	c	55.0	5.0	29.0	18.0	0.46	0.45	0.0	183.0	10.0
C24	c	65.0	35.0	3.0	11.0	0.16	0.36	0.0	190.0	10.0
C25	c	65.0	20.0	6.0	11.0	0.27	0.02	0.0	186.0	10.0
C26	c	45.0	30.0	17.0	0.0	0.38	0.00	0.0	208.0	10.0
C27	c	35.0	40.0	16.0	28.0	0.37	0.15	173.0	183.0	10.0
C28	c	41.0	37.0	16.0	25.0	0.16	0.05	0.0	213.0	10.0
C29	c	64.0	42.0	9.0	29.0	0.05	0.23	117.0	127.0	10.0
C30	c	40.0	60.0	21.0	20.0	0.46	0.28	163.0	173.0	10.0
C31	c	31.0	52.0	27.0	17.0	0.05	0.33	0.0	202.0	10.0
C32	c	35.0	69.0	23.0	20.0	0.04	0.26	0.0	186.0	10.0
C33	c	53.0	52.0	11.0	16.0	0.16	0.06	0.0	195.0	10.0
C34	c	65.0	55.0	14.0	8.0	0.43	0.35	0.0	183.0	10.0
C35	c	63.0	65.0	8.0	10.0	0.16	0.30	0.0	178.0	10.0
C36	c	2.0	60.0	5.0	27.0	0.12	0.28	78.0	88.0	10.0
C37	c	20.0	20.0	8.0	15.0	0.02	0.05	188.0	198.0	10.0
C38	c	5.0	5.0	16.0	7.0	0.22	0.21	63.0	73.0	10.0
C39	c	60.0	12.0	31.0	25.0	0.08	0.02	50.0	60.0	10.0
C40	c	40.0	25.0	9.0	11.0	0.08	0.44	34.0	44.0	10.0
C41	c	42.0	7.0	5.0	25.0	0.15	0.12	181.0	191.0	10.0
C42	c	24.0	12.0	5.0	17.0	0.40	0.40	147.0	157.0	10.0
C43	c	23.0	3.0	7.0	12.0	0.31	0.10	0.0	185.0	10.0
C44	c	11.0	14.0	18.0	23.0	0.21	0.16	171.0	181.0	10.0
C45	c	6.0	38.0	16.0	5.0	0.29	0.44	0.0	190.0	10.0
C46	c	2.0	48.0	1.0	17.0	0.48	0.24	50.0	60.0	10.0
C47	c	8.0	56.0	27.0	14.0	0.27	0.13	0.0	185.0	10.0
C48	c	13.0	52.0	36.0	5.0	0.47	0.11	0.0	192.0	10.0
C49	c	6.0	68.0	30.0	1.0	0.18	0.22	0.0	176.0	10.0
C50	c	47.0	47.0	13.0	11.0	0.25	0.46	0.0	203.0	10.0
C51	c	49.0	58.0	10.0	17.0	0.25	0.02	0.0	193.0	10.0
C52	c	27.0	43.0	9.0	17.0	0.34	0.16	111.0	121.0	10.0
C53	c	37.0	31.0	14.0	29.0	0.04	0.30	0.0	215.0	10.0
