StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
C61	c	50.0	30.0	10.0	3.0	0.09	0.51	980.0	1064.0	90.0
C30	c	20.0	55.0	10.0	20.0	0.37	0.18	0.0	1125.0	90.0
C98	c	58.0	75.0	20.0	3.0	0.42	0.48	0.0	1115.0	90.0
C59	c	38.0	15.0	10.0	19.0	0.26	0.23	66.0	124.0	90.0
C35	c	5.0	35.0	10.0	8.0	0.29	0.26	655.0	725.0	90.0
C13	c	22.0	75.0	30.0	9.0	0.35	0.26	1042.0	1106.0	90.0
C10	c	35.0	66.0	10.0	10.0	0.43	0.22	779.0	845.0	90.0
C44	c	32.0	30.0	10.0	28.0	0.21	0.42	0.0	1124.0	90.0
C50	c	26.0	32.0	10.0	10.0	0.07	0.42	0.0	1123.0	90.0
C95	c	62.0	80.0	30.0	27.0	0.28	0.09	0.0	1108.0	90.0
C18	c	15.0	75.0	20.0	8.0	0.22	0.22	0.0	1110.0	90.0
C33	c	8.0	40.0	40.0	13.0	0.44	0.22	355.0	437.0	90.0
C85	c	68.0	60.0	30.0	19.0	0.36	0.40	0.0	1116.0	90.0
C19	c	15.0	80.0	10.0	18.0	0.28	0.16	455.0	513.0	90.0
C40	c	35.0	30.0	10.0	13.0	0.23	0.48	143.0	199.0	90.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S3	f	57.0	82.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S7	f	21.0	83.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S13	f	22.0	34.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S15	f	39.0	26.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
